title,infobox_json
Abdoulkader Kamil Mohamed,"{""Tổng thống"": ""Ismaïl Omar Guelleh"", ""Tiền nhiệm"": ""Dileita Mohamed Dileita"", ""Sinh"": [""1951 (73–74 tuổi)"", ""Souali"", "","", ""Djibouti""], ""Đảng chính trị"": ""Đảng Nhân dân Tiến bộ"", ""Alma mater"": ""Đại học Limoges""}"
Abdurrahman Wahid,"{""Phó Tổng thống"": ""Megawati Sukarnoputri"", ""Tiền nhiệm"": ""Bacharuddin Jusuf Habibie"", ""Kế nhiệm"": ""Megawati Sukarnoputri"", ""Sinh"": [""Abdurrahman Addakhil"", ""7 tháng 9"", ""năm"", ""1940"", ""Jombang"", "","", ""Đông Java"", "","", ""Đông Ấn thuộc Hà Lan""], ""Mất"": [""30 tháng 12"", ""năm"", ""2009"", ""(69 tuổi)"", ""Jakarta"", "","", ""Indonesia""], ""Nơi an nghỉ"": ""Jombang , Đông Java , Indonesia"", ""Đảng chính trị"": ""Đảng Thức tỉnh Dân tộc"", ""Phối ngẫu"": ""Sinta Nuriyah"", ""Con cái"": ""4"", ""Alma mater"": [""Trường Ngữ pháp Karachi"", ""["", ""1"", ""]"", ""Đại học Al-Azhar"", ""("", ""Islamic studies"", ""1967)"", ""Đại học Baghdad""], ""Chữ ký"": """", ""Website"": ""www .gusdur .net""}"
Abiy Ahmed,"{""Tổng thống"": ""Mulatu Teshome"", ""Cấp phó"": ""Lemma Megersa"", ""Tiền nhiệm"": ""Teklebirhan Woldearegay"", ""Thủ tướng"": ""Hailemariam Desalegn"", ""Kế nhiệm"": ""Teklebirhan Woldearegay"", ""Sinh"": [""15 tháng 8, 1976"", ""(49 tuổi)"", ""Beshasha"", "","", ""Tỉnh Kaffa"", "","", ""Ethiopia Xã hội chủ nghĩa""], ""Đảng chính trị"": ""Oromo Peoples' Democratic Organization"", ""Đảng khác"": ""Lực lượng Dân chủ Cách nạng Nhân dân Ethiopia"", ""Phối ngẫu"": ""Zinash Tayachew"", ""Con cái"": ""ba con gái"", ""Giáo dục"": [""Microlink Information Technology College"", ""("", ""BA"", "")"", ""Đại học Greenwich"", ""("", ""MA"", "")"", ""Đại học Ashland"", ""("", ""MBA"", "")"", ""Đại học Addis Ababa"", ""("", ""PhD"", "")""], ""Thuộc"": ""Ethiopia"", ""Phục vụ"": ""Ethiopian Army"", ""Năm tại ngũ"": ""1991–2010"", ""Cấp bậc"": ""Trung tá"", ""Đơn vị"": ""Army Signals Corps"", ""Chỉ huy"": ""Information Network Security Agency"", ""Tham chiến"": [""Nội chiến Ethiopia"", ""United Nations Assistance Mission for Rwanda"", ""Eritrean–Ethiopian War""]}"
Abe Nobuyuki,"{""Thiên hoàng"": ""Chiêu Hoà"", ""Tiền nhiệm"": ""Kuniaki Koiso"", ""Kế nhiệm"": [""Chức vụ bị bãi bỏ"", ""Kim Il-Sung"", ""("", ""Thủ tướng Triều Tiên"", "")"", ""Syngman Rhee"", ""("", ""Tổng thống Hàn Quốc"", "")""], ""Sinh"": [""24 tháng 11"", ""năm"", ""1875"", ""Kanazawa"", "","", ""Đế quốc Nhật Bản""], ""Mất"": [""7 tháng 9"", ""năm"", ""1953"", ""(77 tuổi)"", ""Tokyo"", "","", ""Nhật Bản""], ""Đảng chính trị"": ""Taisei Yokusankai (1940–1945)"", ""Đảng khác"": ""Độc lập (Trước năm 1940)"", ""Alma mater"": [""Học viện Lục quân Đế quốc Nhật Bản"", ""Đại học Chiến tranh Lục quân""], ""Chuyên môn"": ""Tướng lĩnh"", ""Chữ ký"": """"}"
Aaron Sorkin,"{""Sinh"": """", ""Tên khai sinh"": ""Aaron Benjamin Sorkin"", ""Ngày sinh"": ""9 tháng 6, 1961"", ""Nơi sinh"": ""Thành phố New York"", ""Giới tính"": ""nam"", ""Quốc tịch"": ""Hoa Kỳ"", ""Nghề nghiệp"": ""nhà biên kịch , nhà sản xuất phim , nhà viết kịch , nhà văn , diễn viên , nhà thiết kế bối cảnh, diễn viên điện ảnh , nhà sản xuất phim truyền hình , nhà sản xuất truyền hình , đạo diễn phim"", ""Gia đình"": """", ""Hôn nhân"": ""Julia Bingham"", ""Năm hoạt động"": ""1984 – nay"", ""Đào tạo"": ""Đại học Syracuse, Scarsdale High School"", ""Thành viên của"": ""Hội Nhà văn Tây Hoa Kỳ"", ""Tác phẩm"": ""The West Wing , Molly's Game , Giết con chim nhại , Sports Night"", ""Giải thưởng"": ""Giải thưởng của Hiệp hội Nhà văn Hoa Kỳ, Giải Oscar cho Kịch bản chuyển thể xuất sắc nhất , Giải của Hội phê bình phim New York cho kịch bản hay nhất , Satellite Award for Best Adapted Screenplay, Giải Quả cầu vàng cho kịch bản hay nhất , Primetime Emmy Award for Outstanding Writing for a Drama Series, National Humanities Medal""}"
A. P. J. Abdul Kalam,"{""Thủ tướng"": [""Atal Bihari Vajpayee"", ""Manmohan Singh""], ""Phó Tổng thống"": [""Krishan Kant"", ""Bhairon Singh Shekhawat""], ""Tiền nhiệm"": ""K. R. Narayanan"", ""Kế nhiệm"": ""Pratibha Patil"", ""Sinh"": [""Avul Pakir Jainulabdeen Abdul Kalam"", ""15 tháng 10"", ""năm"", ""1931"", ""Rameswaram"", "", Quận Ramnad,"", ""Tỉnh Madras"", "","", ""Ấn Độ thuộc Anh"", ""(nay là"", ""Quận Ramanathapuram"", "","", ""Tamil Nadu"", "","", ""Ấn Độ"", "")""], ""Mất"": [""27 tháng 7"", ""năm"", ""2015"", ""(83 tuổi)"", ""Shillong"", "","", ""Meghalaya"", "","", ""Ấn Độ""], ""Alma mater"": [""Đại học St. Joseph, Tiruchirappalli"", ""Viện công nghệ Madras""], ""Chuyên môn"": [""Giáo sư"", ""Nhà sáng tác"", ""Nhà khoa học vũ trụ""], ""Chữ ký"": """", ""Website"": ""abdulkalam .com""}"
Abdel Fattah el-Sisi,"{""Thủ tướng"": [""Hesham Qandil"", ""Hazem al-Beblawi"", ""Ibrahim Mahlab""], ""Tiền nhiệm"": ""Murad Muwafi"", ""Kế nhiệm"": ""Mahmoud Hegazy"", ""Sinh"": [""Abdel Fattah Saeed Hussein Khalil el-Sisi"", ""19 tháng 11"", ""năm"", ""1954"", ""(70 tuổi)"", ""Cairo"", "","", ""Tỉnh Cairo"", "","", ""Ai Cập""], ""Đảng chính trị"": ""Độc lập"", ""Phối ngẫu"": ""Entissar Amer (cưới 1977)"", ""Con cái"": [""Mustafa"", ""Mahmoud"", ""Hassan"", ""Aya""], ""Alma mater"": ""Học viện Quân sự Ai Cập"", ""Tôn giáo"": ""Hồi giáo Sunni"", ""Chữ ký"": """", ""Thuộc"": ""Ai Cập"", ""Phục vụ"": ""Lục quân Ai Cập"", ""Năm tại ngũ"": ""1977–2014"", ""Cấp bậc"": ""Thống chế (nghỉ hưu)"", ""Đơn vị"": ""Bộ binh"", ""Tham chiến"": [""Chiến tranh Vùng Vịnh"", ""Cuộc nổi dậy Sinai""]}"
Abdullah Abdullah,"{""Nhiệm kỳ"": ""18 tháng 3 năm 2010 – nay"", ""Tiền nhiệm"": ""Abdul Rahim Ghafoorzai"", ""Kế nhiệm"": ""Rangin Dadfar Spanta"", ""Sinh"": [""5 tháng 9, 1960"", ""(65 tuổi)"", ""["", ""cần dẫn nguồn"", ""]"", ""Kārte Parwān"", "","", ""Vương quốc Afghanistan""], ""Đảng chính trị"": ""Liên minh quốc gia Afghanistan (1996–nay)"", ""Con cái"": ""4"", ""Alma mater"": ""Đại học Y khoa Kabul"", ""Website"": ""Official website""}"
Adlai Stevenson I,"{""Tổng thống"": ""Grover Cleveland"", ""Tiền nhiệm"": ""John McNulta"", ""Kế nhiệm"": ""Thomas F. Tipton"", ""Sinh"": [""Adlai Ewing Stevenson"", ""("", ""1835-10-23"", "")"", ""23 tháng 10, 1835"", ""Christian County, Kentucky"", "","", ""Hoa Kỳ""], ""Mất"": [""14 tháng 6, 1914"", ""(1914-06-14)"", ""(78 tuổi)"", ""Chicago"", "","", ""Illinois"", "","", ""Hoa Kỳ""], ""Nơi an nghỉ"": ""Nghĩa trang Evergreen"", ""Đảng chính trị"": ""Dân chủ"", ""Phối ngẫu"": ""Letitia Green"", ""Con cái"": ""4, bao gồm Lewis"", ""Giáo dục"": [""Illinois Wesleyan University"", ""Centre College"", ""("", ""BA"", "")""], ""Chữ ký"": """"}"
Abdullah Gül,"{""Thủ tướng"": ""Necmettin Erbakan"", ""Tiền nhiệm"": ""Yaşar Yakış"", ""Kế nhiệm"": ""Ali Babacan"", ""Tổng thống"": ""Ahmet Necdet Sezer"", ""Phó Thủ tướng"": [""Abdüllatif Şener"", ""Mehmet Ali Şahin"", ""Ertuğrul Yalçınbayır""], ""Cùng với"": [""Abdüllatif Şener"", ""Mehmet Ali Şahin""], ""Sinh"": [""29 tháng 10"", ""năm"", ""1950"", ""(73 tuổi)"", ""Kayseri"", "","", ""Thổ Nhĩ Kỳ""], ""Đảng chính trị"": [""Đảng Phúc lợi"", ""(Trước 1997)"", ""Đảng Đức hạnh"", ""(1997–2001)"", ""Đảng Công lý và Phát triển"", ""(2001–2007)"", ""Độc lập"", ""(2007–nay)""], ""Phối ngẫu"": ""Hayrünnisa Özyurt (1980–nay)"", ""Con cái"": [""Ahmet Münir"", ""Kübra"", ""Mehmet Emre""], ""Alma mater"": [""Đại học Istanbul"", ""Đại học Exeter""], ""Chữ ký"": """", ""Website"": ""Official website""}"
